title,url,article_section,summary,date,code,tags,text
                     ۱۰ برند بار ارزش جهان را بشناسید                 ,https://roozno.com/fa/news/412353/۱۰-برند-بار-ارزش-جهان-را-بشناسید,[],شش برند از ۱۰ برند با ارزش جهان در آمریکا قرار دارند.,2020-02-07 11:38:00,                     ,"['برند', 'با ارزش']",
                     پزشک چینی که اولین‌بار درباره کرونا هشدار داده بود، بر اثر ابتلا به همین بیماری درگذشت                 ,https://roozno.com/fa/news/412351/پزشک-چینی-که-اولین‌بار-درباره-کرونا-هشدار-داده-بود-بر-اثر-ابتلا-به-همین-بیماری-درگذشت,[], ,2020-02-07 11:33:00,                     ,['کرونا'],
                     هواشناسی: برف کشور را دربر می گیرد                 ,https://roozno.com/fa/news/412349/هواشناسی-برف-کشور-را-دربر-می-گیرد,[], ,2020-02-07 11:30:00,                     ,['هواشناسی'],
                     رئیس قوه قضائیه: ‌هرگز ‌اجازه خواب راحت را به آمریکایی‌ها ‌نمی‌دهیم / با کوچک‌ترین خطایی جای آن‌ها در قعر آب‌های خلیج فارس خواهد بود                 ,https://roozno.com/fa/news/412346/رئیس-قوه-قضائیه-‌هرگز-‌اجازه-خواب-راحت-را-به-آمریکایی‌ها-‌نمی‌دهیم-با-کوچک‌ترین-خطایی-جای-آن‌ها-در-قعر-آب‌های-خلیج-فارس-خواهد-بود,[],رئیس قوه قضائیه گفت: حضور مقتدرانه نیرو‌های مسلح اجازه نخواهد داد که آمریکایی‌ها در منطقه هرگز خواب راحت داشته باشند و همچنانی نشان داده شد.,2020-02-07 11:22:00,                     ,['رئیس قوه قضائیه'],
"                     سردار حاجی‌زاده:
بزودی اطلاعات جدیدی درباره حمله به عین الاسد منتشر می‌کنیم                 ",https://roozno.com/fa/news/412345/سردار-حاجی‌زاده-بزودی-اطلاعات-جدیدی-درباره-حمله-به-عین-الاسد-منتشر-می‌کنیم,[],فرمانده نیروی هوافضای سپاه با بیان اینکه تمامی کدها و فرکانس های گلوبال هاوک امریکایی رمزگشایی و برای ایران کاملا بی اثر شده است از انتشار اطلاعات جدید از حمله موشکی سپاه به پایگاه نظامی امریکایی عین الاسد در آینده نزدیک خبر داد.,2020-02-07 11:19:00,                     ,['حمله به عین الاسد'],
                     جدال پرسپولیس واستقلال در دربی۹۱/عکس                 ,https://roozno.com/fa/news/412298/جدال-پرسپولیس-واستقلال-در-دربی۹۱عکس,[], ,2020-02-06 18:20:00,                     ,['جدال پرسپولیس واستقلال'],
                     سوالاتی که شهردار سابق باید پیش از آغاز تبلیغات انتخاباتی اش پاسخ دهد؛                 ,https://roozno.com/fa/news/412297/سوالاتی-که-شهردار-سابق-باید-پیش-از-آغاز-تبلیغات-انتخاباتی-اش-پاسخ-دهد,[], ,2020-02-06 18:18:00,                     ,['سوالاتی که شهردار سابق'],
                     سحر قریشی پلنگی و خیلی خیلی نزدیک/عکس                 ,https://roozno.com/fa/news/412296/سحر-قریشی-پلنگی-و-خیلی-خیلی-نزدیکعکس,[], ,2020-02-06 18:17:00,                     ,['سحر قریشی پلنگی'],
                     گیتار نوازی مطهری و قائدی در دربی/عکس                 ,https://roozno.com/fa/news/412295/گیتار-نوازی-مطهری-و-قائدی-در-دربیعکس,[], ,2020-02-06 18:12:00,                     ,['گیتار نوازی مطهری و قائدی'],
                     چرا اصلاح‌طلبان از فهرست انتخاباتی برای مجلس گذشتند؟                 ,https://roozno.com/fa/news/412294/چرا-اصلاح‌طلبان-از-فهرست-انتخاباتی-برای-مجلس-گذشتند,[],سناریوهای متعدد و البته متناقض پیش‌روی اصلاح‌طلبان این دوره از رقابت‌های انتخاباتی را برای جریان اصلاح‌طلب سخت کرده و راه‌های مختلفی پیش پای آن‌ها قرار داده است که انتخاب هریک تبعات خاص خود را دارد اما امتیاز مورد انتظار از گزینه‌های روی میز چندان چشم‌گیر نیست.,2020-02-06 18:11:00,                     ,['اصلاح\u200cطلبان'],
                     واکنش‌ها به سخنان جنجالی رئیس‌جمهور افغانستان خطاب به ایران درباره زبان فارسی                 ,https://roozno.com/fa/news/412293/واکنش‌ها-به-سخنان-جنجالی-رئیس‌جمهور-افغانستان-خطاب-به-ایران-درباره-زبان-فارسی,[],اشرف غنی چند روز پیش (۳۰ ژانویه ۲۰۲۰) در مراسمی با عنوان «گفتمان تاریخ، فرهنگ و هویت ملی» در جمع دانشجویان گفته بود: «افغانستان مهد زبان دری است. ایران پهلوی زبان بود. ما زبان و ادبیات دری را انکشاف دادیم. حالا [به‌ ما] می‌گویند ایران شرقی. ای برادر، دزدی هم حد دارد، حد دارد.»,2020-02-06 18:10:00,                     ,['رئیس\u200cجمهور افغانستان'],
                     واکنش عجیب حنیف عمران‌زاده به سرمربیگری اسکوچیچ در تیم ملی                 ,https://roozno.com/fa/news/412261/واکنش-عجیب-حنیف-عمران‌زاده-به-سرمربیگری-اسکوچیچ-در-تیم-ملی,[], ,2020-02-06 16:48:00,                     ,"['حنیف عمران زاده', 'سرمبیگری اسکوچیچ']",
                     خبرساز شدن کيتي پري با پالتوی عجیبش/عکس                 ,https://roozno.com/fa/news/412292/خبرساز-شدن-کيتي-پري-با-پالتوی-عجیبشعکس,[], ,2020-02-06 18:09:00,                     ,['کيتي پري با پالتوی'],
                     تساوی جذاب استقلال و پرسپولیس در دربی؛ اولین‌ها درخشیدند                 ,https://roozno.com/fa/news/412264/تساوی-جذاب-استقلال-و-پرسپولیس-در-دربی-اولین‌ها-درخشیدند,[],دربی برگشت لیگ نوزدهم برگزار شد و درنهایت استقلال و پرسپولیس به تساوی دو-دو رضایت دادند.,2020-02-06 17:44:00,                     ,['استقلال و پرسپولیس'],
                     تاکنون هیچ موردی از ویروس کرونای جدید در کشور دیده نشده است                 ,https://roozno.com/fa/news/412291/تاکنون-هیچ-موردی-از-ویروس-کرونای-جدید-در-کشور-دیده-نشده-است,[], ,2020-02-06 18:08:00,                     ,['ویروس کرونای'],
